lat,lon,shakeClass,eilClass,label,source
14.21432,121.47835,viii,low,LOW,eil-2014-kmz
14.21432,121.47873,viii,low,LOW,eil-2014-kmz
14.21432,121.47912,viii,low,LOW,eil-2014-kmz
14.21393,121.47134,viii,low,LOW,eil-2014-kmz
14.21393,121.47212,viii,low,LOW,eil-2014-kmz
14.21393,121.47251,viii,low,LOW,eil-2014-kmz
14.21393,121.47329,viii,low,LOW,eil-2014-kmz
14.21393,121.47368,viii,low,LOW,eil-2014-kmz
14.21393,121.47835,viii,low,LOW,eil-2014-kmz
14.21354,121.47212,viii,low,LOW,eil-2014-kmz
14.21354,121.47251,viii,low,LOW,eil-2014-kmz
14.21354,121.47290,viii,low,LOW,eil-2014-kmz
14.21354,121.47329,viii,low,LOW,eil-2014-kmz
14.21354,121.47368,viii,low,LOW,eil-2014-kmz
